ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Wine,France Wine,France Red Wine,FRANCE,319646,FRONSAC - CHATEAU FONTENIL 2022,3760137221224,0.75,1,14,65,NA
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,324947,OLD RIP VAN WINKLE - 10 YEAR OLD,89319123679,0.75,1,53.5,164.99,NA
Wine,Germany Wine,Germany White Wine,GERMANY,366711,MOSEL RIESLING BEERENAUSLESE - SELBACH OSTER WEHLENER SONNEN,717215004814,0.375,1,9,105.99,4
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,373592,CABERNET SAUVIGNON - BODEGAS CALLIA,86785750804,0.75,1,13,18.99,0
Wine,France Wine,France Red Wine,FRANCE,457513,ST JULIEN - CHATEAU LEOVILLE LAS CASES 2020,,0.75,1,13,590,NA
Wine,Italy Wine,Italy Red Wine,ITALY,480123,BARBARESCO - SOTTIMANO BASARIN,8032771622176,0.75,1,14.5,125.99,0
Spirits,Grape and Fruit Brandy,Grappa And Marc,ITALY,523480,GRAPPA DI MOSCATO - MASCHIO BENIAMINO,8004595028861,0.7,1,40,47.99,NA
Wine,Canada - BC,Canada - BC White Wine,CANADA,639641,QUAILS GATE - CHARDONNAY STEWART FAMILY RESERVE 2023,778856223019,0.75,1,13.5,49.99,0
Wine,France Wine,France Champagne Wine,FRANCE,647297,ARMAND DE BRIGNAC - BRUT LIMITED EDITION GOLD,813497005256,0.75,1,12.5,375.99,1
Spirits,Asian Spirits,Korea Spirits,KOREA - SOUTH,40603,HWAYO - 25 SOJU,8809158902424,0.375,1,25,27.49,NA
Wine,France Wine,France Red Wine,FRANCE,70006,PAUILLAC - CHATEAU DUHART MILON 2019,696852113663,0.75,1,13,190,NA
Wine,Germany Wine,Germany White Wine,GERMANY,237675,MOSEL RIESLING - SELBACH-OSTER ZELTINGER ALTE REBEN DRY,717215004630,0.75,1,12,38.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,298158,CLOS DU SOLEIL - SIGNATURE 2021,857088000275,0.75,1,14.2,54.99,0
Spirits,Whisky,Irish Whiskey,IRELAND,355886,REDBREAST - TAWNY PORT EDITION,80432000618,0.75,1,46,119.99,NA
Wine,France Wine,France White Wine,FRANCE,372695,PESSAC LEOGNAN - LA CLARTE DE HAUT BRION BLANC 2022,3701581900891,0.75,1,13,260,NA
Wine,Italy Wine,Italy Red Wine,ITALY,378729,MARCHESI DI BAROLO - BAROLO DOCG DELLA TRADIZIONE 2020,8004910407982,0.75,1,14,69.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,451099,GLENFARCLAS - 50 YEAR OLD,5018066200420,0.7,1,50,14500,NA
Wine,Italy Wine,Italy Red Wine,ITALY,462281,GATTINARA - TORRACCIA DEL PIANTAVIGNA 2016,8053808760548,0.75,1,13.5,56.99,0
Wine,France Wine,France Red Wine,FRANCE,465763,PAUILLAC - CHATEAU GRAND PUY LACOSTE 2020,,0.75,1,13,180,NA
